Keyword,Date,Product Name,Price,Regular Price:,On Sale?,Amazon Choice,Sponsored,List Position,Page
Soda,2020-11-24,"Mountain Dew Cans (12 Count, 12 Fl Oz Each)",$0,$0,False,False,True,0-0,3
Soda,2020-11-24,"Mountain Dew Kickstart, Midnight Grape, 16 Fl Oz (12 Count)",$0,$0,False,False,True,0-1,3
Soda,2020-11-24,"Stubborn Soda, 3 Flavor Variety Pack, 12oz Cans, 12 Count (Pack of 1)",$17.99,$0,False,False,True,2-0,3
Soda,2020-11-24,"Pepsi Soda, 7.5 Ounce Mini Cans, 10 Pack",$3.99,$0,False,False,True,3-0,3
Soda,2020-11-24,"poppi A Healthy Sparkling Prebiotic Soda, w/ Real Fruit Juice, Gut Health & Immunity Benefits, 12pk 12oz Cans, Beach Party Variety Pack (Strawberry Lemonade| Lime Ginger| Pineapple Mango| Orange)",$35.88,$0,False,False,True,4-0,3
Soda,2020-11-24,"Perrier Carbonated Mineral Water, 16.9 Fl Oz (24 Pack) Plastic Bottles",$14.83,$0,False,True,True,5-0,3
Soda,2020-11-24,"DrinkMate Sparkling Water and Soda Maker, Carbonates ANY Drink, with 1L Re-usable BPA-free Carbonating Bottle and Patented Fizz Infuser - Matte Black (Does Not Come with CO2 Cylinder)",$86.95,$0,False,False,False,6-0,3
Soda,2020-11-24,Canfields Diet Chocolate Fudge soda 12-Pack cans Sugar Free,$29.99,$0,False,False,False,7-0,3
Soda,2020-11-24,Soda Womens Zulu-S Boot,$25.94,$0,False,False,False,8-0,3
Soda,2020-11-24,"LIVE All Natural Root Beer with Probiotics, Low Calorie and No Added Sugar, Pack of 24",$34.49,$0,False,False,False,9-0,3
Soda,2020-11-24,"IZZE Sparkling Juice, 4 Flavor Variety Pack, 8.4 Fl Oz (24 Count)",$14.48,$0,False,False,False,10-0,3
Soda,2020-11-24,"Arm & Hammer Baking Soda, 5 Lbs",$16.00,$0,False,False,False,11-0,3
Soda,2020-11-24,"ARM & HAMMER Baking Soda, 13.5 lb (Pack of 2), White",$28.00,$0,False,False,False,12-0,3
Soda,2020-11-24,"SodaStream Jet Sparkling Water Maker, Kit w/60l Cylinder, Black",$79.99,$0,False,False,False,13-0,3
Soda,2020-11-24,"Diet Pepsi, Caffeine Free, 2 Liter Bottle",$1.68,$0,False,False,False,14-0,3
Soda,2020-11-24,Ale 8 (18 Pack),$32.99,$0,False,False,False,15-0,3
Soda,2020-11-24,"Zevia All Natural Soda, Cream Soda, 12 Fl Oz (pack of 6)",$4.05,$4.99,True,False,False,16-0,3
Soda,2020-11-24,"365 Everyday Value, Organic Ginger Ale 12-Pack, 12 Fl Oz (Pack of 12)",$5.49,$0,False,False,False,17-0,3
Soda,2020-11-24,"Coca-Cola Soft Drink Variety Pack, 12 fl oz, 36 Pack",$15.24,$0,False,False,True,18-0,3
Soda,2020-11-24,"Mountain Dew Game Fuel, 3 Flavor Variety Pack, 16 fl oz. cans (12 Pack) (Packaging May Vary)",$22.99,$0,False,False,True,19-0,3
Soda,2020-11-24,"Perrier Pink Grapefruit Flavored Carbonated Mineral Water, 8.45 Fl Oz (30 Pack) Slim Cans",$22.88,$0,False,False,True,20-0,3
Soda,2020-11-24,"Mountain Dew Mini Cans, 7.5 fl oz (pack of 6)",$2.74,$0,False,False,False,21-0,3
Soda,2020-11-24,"Pepsi Zero Sugar, Zero Calories, 2 Liter Bottle",$1.68,$0,False,False,False,22-0,3
Soda,2020-11-24,"iDesign Fridge Binz BPA-Free Plastic Beverage Can Organizer with Lid - 13.84"" x 5.7"" x 5.8"", Clear",$16.99,$0,False,False,False,23-0,3
Soda,2020-11-24,"PURE Sodium Bicarbonate (Baking Soda) (2 lb.), Eco-Friendly Packaging, Highest Purity, Food Grade",$10.49,$0,False,False,False,24-0,3
Soda,2020-11-24,"Zevia All Natural Soda, Black Cherry Zero, 12 Fl Oz (Pack of 6)",$4.05,$4.99,True,False,False,25-0,3
Soda,2020-11-24,"Simple Trending 2-Pack Soda Can Beverage Dispenser Rack, Stackable Can Storage Organizer for pantry or Refrigerator- Dispenser 12 Standard Size 12oz Soda Cans or Canned food, Bronze",$0,$0,False,False,False,26-0,3
Soda,2020-11-24,"All-Natural Washing Soda (1 Gallon (9 lbs)) by Earthborn Elements, Soda Ash, Sodium Carbonate, Laundry Booster, Non-Toxic, Hypoallergenic",$30.99,$0,False,False,False,27-0,3
Soda,2020-11-24,"Stewarts Original Key Lime Soda 12 Oz Glass Bottle (Pack of 6, Total of 72 Oz)",$23.99,$0,False,False,False,28-0,3
Soda,2020-11-24,"2 Pack - SimpleHouseware Stackable Front Loading Beverage Can Dispenser Rack, Chrome",$18.87,$26.99,True,False,False,29-0,3
Soda,2020-11-24,"Pepsi, Diet Pepsi, 12 oz (pack of 12)",$4.99,$0,False,False,False,30-0,3
Soda,2020-11-24,"7UP Lemon Lime Soda, Naturally Flavored and Caffeine Free, 12 Fl Oz Cans (pack of 12)",$3.50,$4.59,True,False,False,31-0,3
Soda,2020-11-24,"New Wave Soda Natural Soda Canned Fruit Juice, Mango, Healthy Soda Caffeinated Sparkling Water | Vegan, Keto, Gluten Free Soft Drink, No Added Sugar or Artificial Flavors, Recyclable, 12 Pack",$34.79,$0,False,False,False,32-0,3
Soda,2020-11-24,"New Wave Soda Natural Soda Canned Fruit Juice, Mango, Healthy Soda Caffeinated Sparkling Water | Vegan, Keto, Gluten Free Soft Drink, No Added Sugar or Artificial Flavors, Recyclable, 12 Pack",$17.38,$0,False,False,True,33-0,3
Soda,2020-11-24,"7UP, 12 oz Can (Pack of 15, Total of 180 Fl Oz)",$19.50,$0,False,False,True,34-0,3
Soda,2020-11-24,"Perrier Strawberry Flavored Carbonated Mineral Water, 8.45 Fl Oz (30 Pack) Slim Cans",$11.97,$0,False,False,True,35-0,3
Soda,2020-11-24,"Baking Soda (1 Gallon) Natural for Cooking, Baking, Cleaning, Deodorizing, & More by Earthborn Elements",$31.95,$0,False,False,False,36-0,3
Soda,2020-11-24,"Zevia Natural Orange Soda, Sugar Free,12 Fl Oz (Pack of 6)",$4.05,$4.99,True,False,False,37-0,3
Soda,2020-11-24,Soda Womens Taylor Nubuck Hight Top Slip On Fashion Sneakers,$22.79,$0,False,False,False,38-0,3
Soda,2020-11-24,"Big Red Soda Soft Drink, 12 Ounce (18 Cans)",$33.99,$0,False,False,False,39-0,3
Soda,2020-11-24,"Diet Dr. Pepper, 12 Fl Oz (pack of 12)",$4.98,$0,False,False,False,40-0,3
