Keyword,Date,Product Name,Price,Regular Price:,On Sale?,Amazon Choice,Sponsored,List Position,Page
soda,2020-11-16,"Perrier Carbonated Mineral Water, 16.9 Fl Oz (24 Pack) Plastic Bottles",$14.83,$0,False,False,True,2,3
soda,2020-11-16,"poppi A Healthy Sparkling Prebiotic Soda, w/ Real Fruit Juice, Gut Health & Immunity Benefits, 12pk 12oz Cans, Beach Party Variety Pack (Strawberry Lemonade| Lime Ginger| Pineapple Mango| Orange)",$35.88,$0,False,False,True,3,3
soda,2020-11-16,"Perrier Pink Grapefruit Flavored Carbonated Mineral Water, 8.45 Fl Oz (30 Pack) Slim Cans",$22.88,$0,False,False,True,4,3
soda,2020-11-16,"Q Club Soda, Premium Club Soda, 7.5 Fl oz, 24 Cans",$21.48,$0,False,True,True,5,3
soda,2020-11-16,"Zevia All Natural Soda, Cream Soda, 72 fl oz (pack of 6)",$4.05,$4.99,True,False,False,6,3
soda,2020-11-16,"6-Pack, Clear Color, Soda or Beverage Can Lid, Cover or Protector",$9.95,$0,False,False,False,7,3
soda,2020-11-16,Outopus,$0.99,$0,False,False,False,8,3
soda,2020-11-16,Big Red | Fridge Pack Cans | 12 fl. oz (12 Count),$20.01,$0,False,False,False,9,3
soda,2020-11-16,"Simple Trending 2-Pack Soda Can Beverage Dispenser Rack, Stackable Can Storage Organizer for pantry or Refrigerator- Dispenser 12 Standard Size 12oz Soda Cans or Canned food, Bronze",$17.97,$0,False,False,False,10,3
soda,2020-11-16,"Sanpellegrino Blood Orange Sparkling Fruit Beverage Cans, 11.15 Fl Oz (pack of 6)",$6.29,$0,False,False,False,11,3
soda,2020-11-16,"Mrs. Meyer's Baking Soda Cream Cleaner, Lemon Verbena, 12 OZ (Pack - 3)",$18.71,$0,False,False,False,12,3
soda,2020-11-16,"Arm & Hammer Baking Soda, 1 lb.",$0.82,$2.99,True,False,False,13,3
soda,2020-11-16,"Pepsi Mini Cans, 7.5oz (pack of 6)",$2.74,$0,False,False,False,14,3
